task, recv, send
open5gs-amfd, 307, 246
open5gs-ausfd, 79, 86
open5gs-bsfd, 24, 36
open5gs-hssd, 289, 2
open5gs-mmed, 289, 2
open5gs-nrfd, 40, 67
open5gs-nssfd, 9, 6
open5gs-pcfd, 213, 137
open5gs-pcrfd, 288, 2
open5gs-scpd, 874, 970
open5gs-sgwcd, 4, 4
open5gs-sgwud, 4, 4
open5gs-smfd, 438, 154
open5gs-udmd, 218, 226
open5gs-udrd, 332, 237
open5gs-upfd, 35806, 108668
