task, recv, send
open5gs-sgwcd, 6, 6
open5gs-upfd, 6, 6
open5gs-sgwud, 6, 6
open5gs-bsfd, 9, 6
open5gs-nssfd, 9, 6
open5gs-pcfd, 9, 6
open5gs-pcrfd, 288, 1
open5gs-hssd, 289, 1
open5gs-mmed, 289, 1
open5gs-smfd, 304, 13
open5gs-nrfd, 336, 963
open5gs-udmd, 1115, 1413
open5gs-ausfd, 1217, 1881
open5gs-udrd, 1699, 1413
open5gs-amfd, 1699, 1878
open5gs-scpd, 4126, 5709
